X0,LUM_crop1,TMRM_crop1,LUM_crop2,TMRM_crop2,LUM_crop3,TMRM_crop3,LUM_crop4,TMRM_crop4
226,3515.9731,458.0113,3202.8389,577.6266,3577.947,662.2719,3514.9307,711.0902
227,3511.0347,451.8152,3191.0305,626.8555,3545.3723,708.8466,3502.8877,724.0617
228,3523.9985,446.3539,3201.8142,594.1251,3560.9683,685.3105,3505.8362,699.9888
229,3541.7512,464.218,3217.3811,587.6525,3594.5535,679.1981,3522.6475,703.4036
230,3526.9968,440.5059,3232.8606,608.0006,3592.9033,743.7125,3512.2039,698.4273
231,3546.1025,455.9801,3238.4775,572.5862,3576.3845,697.0699,3516.5671,730.5507
232,3550.2986,444.5594,3222.7981,571.8522,3583.0742,685.4788,3511.281,747.1476
233,3539.3901,442.7639,3235.1963,634.436,3603.4263,709.2414,3513.0671,745.6449
234,3574.022,448.4136,3222.0906,616.1915,3588.4429,687.5215,3507.3022,730.3679
235,3547.0686,446.2013,3216.4478,565.9504,3597.9729,643.16,3516.405,703.5797
236,3557.1113,444.1951,3202.4067,611.4221,3601.9392,724.4773,3499.1472,705.0847
237,3553.2283,449.5908,3195.6965,572.5731,3582.1819,699.3024,3491.0046,728.3472
238,3553.8359,439.9414,3201.5942,598.9009,3582.4238,728.3663,3500.4292,727.6422
239,3548.8989,433.1781,3205.2031,599.2324,3591.0295,704.6077,3503.8718,729.649
240,3601.5088,435.7989,3205.9541,561.3537,3576.8894,686.0051,3509.1138,708.7858
241,3560.0789,461.0024,3173.2288,588.3227,3552.7419,700.7275,3487.3169,708.0199
242,3548.5208,431.2061,3125.7761,619.1071,3505.8699,696.074,3476.4275,691.1882
243,3554.1909,438.552,3119.2339,587.5516,3496.0801,687.3602,3469.4158,707.3819
244,3523.0334,435.6663,3121.8679,610.5192,3497.592,687.8456,3464.3345,720.8366
245,3529.3962,453.549,3098.0898,594.4506,3493.2998,717.9315,3451.8374,716.1818
246,3518.2817,438.7827,3081.9915,644.8423,3479.7122,700.4451,3451.4775,723.6558
247,3524.4412,441.8295,3107.5674,617.6767,3464.4041,692.9516,3446.7842,735.058
248,3511.0239,447.4873,3084.2886,621.8634,3461.1492,701.288,3454.7812,720.0981
249,3519.6306,444.6046,3065.8096,625.9492,3445.8638,712.9835,3436.2605,742.9125
250,3500.2354,429.5198,3054.5781,602.5618,3433.4539,763.4211,3431.9788,740.6823
251,3505.8389,440.394,3062.1558,593.1813,3415.3975,701.4177,3433.3452,777.6369
252,3502.5398,436.0642,3091.8308,603.369,3446.8369,706.7618,3447.7568,745.3191
253,3519.6562,424.8977,3082.9302,607.9862,3428.4309,716.9091,3462.2061,744.3762
254,3507.636,431.1517,3087.0264,643.5773,3433.0425,761.7513,3463.5425,720.0325
255,3517.062,441.1006,3086.135,667.7495,3427.1873,701.226,3465.2134,730.6734
256,3571.541,430.8268,3096.8779,641.3118,3424.8054,678.1965,3469.4878,736.0448
257,3521.0798,430.142,3100.0896,660.8011,3430.5742,713.4076,3474.1321,730.0089
258,3524.3418,431.9319,3089.6143,662.4017,3415.137,732.8768,3469.5312,741.2839
259,3526.9536,431.0771,3101.0522,683.0488,3408.6743,712.539,3499.2141,752.2109
260,3518.9478,429.3873,3114.2893,673.9577,3409.1399,710.2051,3483.5537,741.3619
261,3525.9033,427.9071,3160.29,559.2335,3408.7437,700.7981,3474.3372,737.7118
262,3663.9048,377.0652,3230.9927,527.3305,3492.1624,691.4352,3563.6982,653.4495
263,3707.3916,350.2654,3272.2437,509.3015,3515.0532,669.4232,3561.46,590.9627
264,3725.2341,326.4871,3296.5908,514.1514,3519.3059,653.0204,3570.5747,570.5477
265,3742.1743,336.4093,3344.9495,558.5222,3531.3616,702.3283,3581.198,514.3174
266,3738.1191,330.8713,3311.7368,585.2538,3549.155,662.2723,3585.4629,500.4625
267,3776.4099,332.7893,3307.4126,590.6479,3539.1931,651.11,3594.0474,488.1769
268,3752.5269,341.1255,3287.5344,570.2994,3523.8484,649.9572,3596.7139,518.3579
269,3764.8208,334.9337,3280.8379,576.8035,3535.1646,633.1689,3607.7974,491.3975
