B_1,B_2,B_3,B_4,B_5,B_6,T_1,T_2,T_3,T_4,T_5,T_6,G_1,G_2,G_3,G_4,G_5,G_6,
3.620034542314335,8.592045454545454,3.5508333333333333,6.642290748898678,3.4220890410958904,4.231530845392231,6.279217040875072,12.836363636363636,6.6225,8.74977973568282,6.876712328767123,6.8316831683168315,2.9441565918249855,3.6880681818181817,3.3541666666666665,3.375330396475771,3.194349315068493,2.849200304645849,
3.687392055267703,8.466477272727273,3.4166666666666665,6.582378854625551,3.8886986301369864,4.138613861386139,6.463442717328728,11.901704545454546,7.715,9.579735682819383,6.738013698630137,6.173648134044174,3.0282095567069662,3.725,2.9991666666666665,3.6352422907488986,3.2131849315068495,3.041888804265042,
3.5515256188831317,9.065909090909091,3.8675,6.8819383259911895,3.8886986301369864,4.143183549124143,6.638457109959701,12.10965909090909,7.2,10.741850220264316,6.808219178082192,6.30997715156131,2.96776050662061,3.988068181818182,3.4783333333333335,3.920704845814978,3.2440068493150687,3.002284843869002,
3.609096142774899,9.001704545454546,3.6658333333333335,7.346255506607929,3.5385273972602738,4.030464584920031,6.576856649395509,12.329545454545455,6.485,10.781497797356828,7.527397260273973,5.715156130997715,3.071387449625792,4.0204545454545455,3.3625,3.9779735682819384,2.9717465753424657,2.837014470677837,
3.742084052964882,9.167613636363637,3.578333333333333,7.703964757709251,3.8176369863013697,3.658035034272658,6.213010938399539,13.256818181818181,7.035,11.901321585903084,7.782534246575342,6.332825590251333,2.872769142199194,3.771590909090909,3.404166666666667,4.244052863436123,3.2491438356164384,3.0495049504950495,
3.7829591249280368,9.32840909090909,3.7083333333333335,8.234361233480175,3.7722602739726026,3.917745620715918,7.0754173862982155,12.691477272727273,6.6475,12.384140969162996,7.055650684931507,6.134044173648134,3.365572826712723,4.197727272727272,3.265,4.687224669603524,3.5530821917808217,3.162223914699162,
3.5434657455382843,8.920454545454545,3.4266666666666667,8.12863436123348,3.5222602739726026,3.463823305407464,6.57915947035118,13.563636363636364,6.973333333333334,12.679295154185022,7.219178082191781,6.023610053313024,3.3304548071387448,4.3403409090909095,3.5033333333333334,4.827312775330396,3.2414383561643834,3.2094440213252096,
3.597006332757628,9.467045454545454,4.224166666666667,9.160352422907488,4.226883561643835,3.632901751713633,5.989061600460564,14.180113636363636,7.1675,12.663436123348017,7.385273972602739,6.108149276466108,2.98272884283247,4.43125,3.32,4.923348017621145,3.1267123287671232,3.0434120335110433,
3.7086931491076567,9.256818181818181,3.6275,8.206167400881057,4.238869863013699,3.6397562833206396,6.259643062751871,14.857954545454545,7.238333333333333,11.951541850220265,7.129280821917808,6.311500380807312,3.0166954519286127,4.3715909090909095,3.345833333333333,5.408810572687225,2.9580479452054793,2.8674790555978675,
4.057570523891767,8.953977272727272,3.4133333333333336,8.223788546255507,4.3895547945205475,4.079207920792079,6.5912492803684515,15.128977272727273,6.4275,13.0431718061674,7.132705479452055,5.988575780654989,2.9994242947610825,4.493181818181818,3.4816666666666665,4.797356828193832,3.26027397260274,3.024371667936024,
3.5947035118019572,8.969886363636364,3.4283333333333332,7.961233480176212,3.743150684931507,3.498095963442498,6.373056994818653,15.688068181818181,6.6225,12.740088105726873,6.517979452054795,6.121096725057121,3.145077720207254,4.033522727272727,3.2758333333333334,5.813215859030837,3.2988013698630136,3.0038080731150036,
3.6914219919401265,9.222727272727273,3.7725,8.94625550660793,3.668664383561644,3.948971820258949,6.431778929188256,15.491477272727273,6.62,13.777973568281938,7.107876712328767,5.517897943640518,3.181922855497985,3.946022727272727,3.28,5.584140969162996,3.1952054794520546,2.929169840060929,
3.987334484743811,9.286931818181818,3.495,8.53215859030837,4.044520547945205,3.6153846153846154,6.130685089234312,14.746590909090909,6.7725,13.37092511013216,7.700342465753424,6.543792840822544,3.0011514104778354,3.608522727272727,3.3108333333333335,5.780616740088106,3.267123287671233,3.0845392231530844,
3.839378238341969,9.178977272727273,3.5875,8.72511013215859,4.357876712328767,3.638994668697639,6.929763960852044,15.168181818181818,7.0925,14.608810572687224,6.834760273972603,5.878903274942879,3.051237766263673,3.778409090909091,3.3766666666666665,5.79295154185022,3.046232876712329,3.402132520944402,
3.7512953367875648,9.655681818181819,3.7391666666666667,8.244052863436123,3.940068493150685,3.7707539984767706,6.017846862406448,15.353409090909091,6.9525,14.26079295154185,7.096746575342466,5.881188118811881,2.9337938975244673,4.50625,3.3108333333333335,7.006167400881057,3.2868150684931505,2.9916222391469915,
