B_1,B_2,T_1,T_2,G_1,G_2,
6.184539767649687,5.246715328467153,7.929848078641644,13.142700729927007,3.408176943699732,2.9981751824817517,
6.076630920464701,5.435036496350365,7.809874888293119,13.516058394160584,3.2605004468275247,3.2645985401459856,
5.909740840035746,5.231021897810219,8.264521894548704,14.294890510948905,3.3241733690795354,3.3175182481751824,
5.5922698838248435,5.234671532846716,8.328194816800714,13.402554744525547,3.246201966041108,2.9843065693430657,
5.754691689008043,6.101459854014599,8.050491510277032,11.886861313868613,3.2578194816800714,3.555839416058394,
5.6697944593386955,5.9007299270072995,8.027256478999107,9.893430656934306,3.205987488829312,3.478102189781022,
5.5773011617515635,5.854744525547445,7.690795352993744,9.636496350364963,3.442806076854334,3.55036496350365,
5.627569258266309,5.511678832116789,8.094280607685434,9.747810218978103,3.474977658623771,3.2868613138686134,
5.517426273458445,5.532481751824817,8.143208221626452,9.434306569343066,3.1861036639857017,3.2,
5.538873994638069,5.754379562043796,7.542448614834674,9.064963503649635,3.3856121537086685,3.3270072992700728,
5.303619302949062,6.035036496350365,7.997319034852547,9.209854014598541,3.531277926720286,3.249270072992701,
5.577971403038427,5.637226277372263,7.699508489722967,9.25036496350365,3.572386058981233,3.3795620437956204,
5.572162645218945,5.427737226277372,8.393208221626452,8.97080291970803,3.4331992850759607,3.3317518248175184,
5.612153708668454,5.508759124087591,8.145665773011617,8.291970802919709,4.002457551385166,3.6427007299270073,
5.701742627345845,5.777737226277372,8.280160857908847,8.010583941605839,3.8782394995531724,3.5835766423357662,
6.151921358355675,5.572627737226277,8.331992850759606,8.106204379562044,3.8112153708668455,3.393065693430657,
5.930518319928508,5.36058394160584,8.39432529043789,8.273722627737227,3.971626452189455,3.4766423357664236,
5.802055406613047,5.377372262773723,8.75,8.796715328467153,3.677613941018767,3.705839416058394,
6.067247542448615,5.411313868613139,8.137176050044683,8.237956204379563,3.7911081322609474,3.730656934306569,
5.791554959785523,5.698540145985401,7.840929401251117,8.338321167883212,3.855004468275246,3.8766423357664235,
5.968275245755138,5.6007299270073,8.80071492403932,8.694525547445256,3.7779267202859694,3.8664233576642335,
6.125111706881144,5.17992700729927,8.725201072386058,8.021897810218977,3.6778373547810546,3.485036496350365,
5.966711349419124,5.423722627737226,8.714030384271672,8.38978102189781,3.861260053619303,3.543065693430657,
5.7911081322609474,5.608394160583941,8.094950848972296,7.83029197080292,3.9028150134048256,3.4193430656934307,
5.725201072386059,5.136861313868613,8.35165326184093,8.47080291970803,3.9124218051831994,3.312043795620438,
5.577524575513852,5.825182481751825,8.56076854334227,7.398540145985401,3.7946827524575513,4.060948905109489,
5.768766756032171,5.412408759124087,8.680071492403933,8.155474452554744,4.055853440571939,3.4948905109489052,
5.494414655942806,5.372627737226277,8.769660411081322,7.7193430656934305,4.257819481680071,3.486131386861314,
6.111483467381591,5.312773722627737,9.17917783735478,7.803649635036496,4.029267202859696,3.6372262773722626,
5.612823949955318,5.901094890510949,9.202636282394996,7.902554744525547,4.2249776586237715,3.3682481751824818,
5.777479892761394,4.971532846715329,9.019436997319035,9.376277372262773,4.167113494191242,3.1744525547445255,
