B_1,T_1,G_1,
5.845375722543353,14.757707129094412,4.9330443159922925,
5.938342967244702,15.989402697495184,5.252890173410405,
6.380539499036609,14.877649325626205,5.32466281310212,
6.296724470134874,15.435452793834298,5.210019267822736,
5.3526011560693645,14.34441233140655,5.301059730250482,
6.519267822736031,15.322254335260116,5.07514450867052,
5.999036608863198,14.412813102119461,4.721098265895954,
6.271194605009634,14.945568400770712,4.194123314065511,
5.98747591522158,15.467726396917149,4.408477842003854,
5.91907514450867,15.2495183044316,4.659441233140655,
5.5847784200385355,15.277456647398845,4.910404624277457,
5.804913294797688,14.769749518304431,4.055394990366088,
5.8882466281310215,14.821290944123314,5.697013487475915,
5.838631984585742,16.545761078998073,5.511078998073217,
5.257707129094412,16.089595375722542,5.21917148362235,
5.9657996146435455,16.168111753371868,5.430635838150289,
5.847302504816955,15.26878612716763,4.92485549132948,
5.607418111753372,15.321290944123314,4.552986512524085,
5.958092485549133,15.503853564547207,5.001926782273603,
5.6233140655105975,14.402697495183045,4.921483622350674,
6.460019267822736,16.621868978805395,4.602119460500964,
5.577071290944123,14.521194605009635,4.0,
5.776493256262042,15.425337186897881,4.476878612716763,
5.8111753371868975,16.513969171483623,4.763005780346821,
6.232658959537572,17.17003853564547,4.39354527938343,
5.661849710982659,16.136319845857418,4.000963391136802,
5.72495183044316,15.050578034682081,4.83092485549133,
5.1738921001926785,15.554431599229288,4.217244701348748,
5.71917148362235,15.6247591522158,3.995664739884393,
5.533236994219653,15.285163776493256,4.142100192678227,
5.959055876685935,18.058285163776493,4.591522157996146,
5.788053949903661,15.264450867052023,4.380057803468208,
5.819845857418112,16.226396917148364,3.9161849710982657,
6.398843930635838,16.51156069364162,4.23121387283237,
5.8289980732177264,16.368978805394992,4.032273603082851,
5.936897880539499,16.416184971098264,4.392581888246628,
5.851637764932563,15.371868978805395,4.113198458574181,
