T1,T2,T3,T4,T5,T6,T7
5.214138641,5.408960368,5.604113111,5.671483622,5.286619161,4.479567308,6.357603687
5.597803706,4.815623205,5.313624679,5.407514451,4.520190024,4.567307692,6.66359447
4.47700755,4.81217691,5.251285347,5.411849711,4.666666667,4.962740385,5.671889401
5.094715168,5.377943711,5.267994859,5.458574181,4.705463183,4.215144231,6.090322581
4.651338367,5.395175187,5.536632391,5.611271676,4.892319873,4.576923077,5.934562212
4.863417982,4.985066054,5.816838046,5.951348748,4.603325416,4.356971154,5.698617512
4.970487303,5.465824239,5.442159383,5.543352601,4.787015044,4.430288462,5.607373272
4.680164722,5.402067777,5.394601542,5.47495183,4.898653998,4.465144231,5.411981567
4.680851064,5.55887421,5.63688946,5.704238921,5.037212985,4.646634615,5.834101382
5.028140014,4.952326249,5.197300771,5.322254335,5.166270784,4.695913462,6.21843318
4.686341798,5.15393452,5.28277635,5.336223507,4.601741884,4.344951923,5.859907834
5.282772821,4.77599081,5.537275064,5.535163776,4.884402217,5.040865385,5.787096774
4.719286205,5.124066628,5.013496144,5.111753372,5.208234363,4.189903846,5.742857143
5,5.194715681,5.608611825,5.503371869,5.203483769,4.436298077,6.05437788
4.725463281,5.491097071,5.139460154,5.174373796,5.527315914,4.938701923,6.104147465
4.832532601,5.219988512,5.593830334,5.672928709,4.961203484,5.028846154,6.261751152
4.672614962,5.126364159,4.955655527,5.069845857,4.598574822,4.502403846,5.578801843
4.508579272,4.689259047,5.086118252,5.105009634,5.134600158,4.801682692,5.935483871
5.062457104,5.160252728,5.602827763,5.613680154,4.597783056,4.706730769,6.150230415
4.953328758,4.694428489,5.758354756,5.762524085,5.11797308,4.292067308,5.711520737
4.458476321,5.252153935,5.412596401,5.382947977,5.122723674,4.942307692,5.643317972
4.734385724,5.020677771,5.990359897,5.933044316,4.511480602,4.382211538,5.229493088
5.286890872,5.188397473,5.275064267,5.490366089,4.737133808,4.141826923,5.583410138
4.477693892,5.032165422,5.369537275,5.373314066,4.928741093,4.855769231,5.839631336
5.085106383,5.415852958,5.500642674,5.565028902,4.961995249,4.852163462,5.299539171
5.34728895,5.357840322,5.219794344,5.273603083,5.350752177,4.944711538,5.126267281
4.861358957,5.009190121,5.490359897,5.472061657,4.819477435,4.885817308,5.47281106
